Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"PM10 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/02/2022 11:00:00 AM,01/02/2022 11:59:59 AM,47.66334,1.0131579,197.5789474,31.5921053,0,757.6638158,69.3026316,538.0789474
01/02/2022 12:00:00 PM,01/02/2022 12:59:59 PM,52.7753704,1.3717949,189.0974359,32.1128205,0,757.1923077,69.8282051,751.2435897
01/02/2022 01:00:00 PM,01/02/2022 01:59:59 PM,51.4701284,1.5230769,190.4564103,31.848718,0,756.5942308,70.8179487,695.8564103
01/02/2022 02:00:00 PM,01/02/2022 02:59:59 PM,55.4016429,1.072973,207.3783784,31.7756757,0,756.2229167,70.9675676,573.1054054
01/02/2022 03:00:00 PM,01/02/2022 03:59:59 PM,59.495578,0.9205128,226.2461538,30.5128205,0,756.05,72.8820513,167.9948718
01/02/2022 04:00:00 PM,01/02/2022 04:59:59 PM,45.8987768,0.6307692,189.374359,29.8282051,0,755.9980769,71.3615385,68.1974359
01/02/2022 05:00:00 PM,01/02/2022 05:59:59 PM,45.854809,0.4794872,225.6051282,29.2230769,0,756.2211538,70.7025641,30.3153846
01/02/2022 06:00:00 PM,01/02/2022 06:59:59 PM,68.5563174,0.7868421,312.9921053,27.8342105,0,756.6690789,75.7684211,0.0315789
01/02/2022 07:00:00 PM,01/02/2022 07:59:59 PM,57.0990965,0.8435897,317.9410256,26.7564103,0,757.2076923,82.7641026,0
01/02/2022 08:00:00 PM,01/02/2022 08:59:59 PM,47.5482679,0.8051282,306.6512821,25.9897436,0,757.7576923,87.648718,0
01/02/2022 09:00:00 PM,01/02/2022 09:59:59 PM,37.9319548,0.8216216,314.0486486,25.4810811,0,758.1547297,90.1621622,0
